id,domain,pmid,name,osEntrez
GO:0099626,BP,19193890,voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626),12290
GO:0099635,BP,11980879,voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels (GO:0099635),12296
GO:0099635,BP,10322048,voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels (GO:0099635),12298
GO:0098794,CC,11276227,postsynapse (GO:0098794),12568
GO:1905806,BP,17143272,regulation of synapse disassembly (GO:1905806),12568
GO:0099171,BP,8815915,presynaptic modulation of chemical synaptic transmission (GO:0099171),268934
GO:0099171,BP,12065412,presynaptic modulation of chemical synaptic transmission (GO:0099171),108073
GO:0099171,BP,15275822,presynaptic modulation of chemical synaptic transmission (GO:0099171),14823
GO:0150044,BP,19448629,regulation of postsynaptic dense core vesicle exocytosis (GO:0150044),20983
GO:0098793,CC,24876496,presynapse (GO:0098793),22317
GO:0099509,BP,25556795,regulation of presynaptic cytosolic calcium levels (GO:0099509),16510
GO:2000300,BP,25556795,regulation of synaptic vesicle exocytosis (GO:2000300),16510
GO:0098993,CC,20007772,anchored component of synaptic vesicle membrane (GO:0098993),69908
GO:0098696,BP,15295021,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696),
GO:0098696,BP,15295021,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696),
GO:0098963,BP,15312650,dendritic transport of messenger ribonucleoprotein complex (GO:0098963),71514
GO:0098963,BP,15312650,dendritic transport of messenger ribonucleoprotein complex (GO:0098963),20853
GO:0098794,CC,18430734,postsynapse (GO:0098794),74117
GO:0098794,CC,18430734,postsynapse (GO:0098794),73178
GO:0098974,BP,18430734,postsynaptic actin cytoskeleton organization (GO:0098974),73178
GO:0030285,CC,17004320,integral component of synaptic vesicle membrane (GO:0030285),100226
GO:0150037,BP,27052163,regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037),69017
GO:2000300,BP,19193890,regulation of synaptic vesicle exocytosis (GO:2000300),12290
GO:2000300,BP,10322048,regulation of synaptic vesicle exocytosis (GO:2000300),12298
GO:0099523,CC,7877458,presynaptic cytosol (GO:0099523),104069
GO:0048488,BP,25009269,synaptic vesicle endocytosis (GO:0048488),104069
GO:0098693,BP,23263861,regulation of synaptic vesicle cycle (GO:0098693),102866
GO:1905806,BP,17143272,regulation of synapse disassembly (GO:1905806),13838
GO:1905806,BP,17143272,regulation of synapse disassembly (GO:1905806),53972
GO:0099560,BP,23911103,synapse adhesion between pre- and post-synapse (GO:0099560),14735
GO:0099560,BP,18227064,synapse adhesion between pre- and post-synapse (GO:0099560),233067
GO:0099560,BP,20410109,synapse adhesion between pre- and post-synapse (GO:0099560),225875
GO:0099560,BP,27225731,synapse adhesion between pre- and post-synapse (GO:0099560),238205
GO:0099560,BP,16980967,synapse adhesion between pre- and post-synapse (GO:0099560),192198
GO:0099560,BP,19252495,synapse adhesion between pre- and post-synapse (GO:0099560),272381
GO:0099560,BP,7961669,synapse adhesion between pre- and post-synapse (GO:0099560),17967
GO:0150052,BP,16672654,regulation of postsynapse assembly (GO:0150052),73728
GO:0099560,BP,16980967,synapse adhesion between pre- and post-synapse (GO:0099560),171171
GO:0099560,BP,20139422,synapse adhesion between pre- and post-synapse (GO:0099560),19268
GO:0099560,BP,20139422,synapse adhesion between pre- and post-synapse (GO:0099560),19280
GO:0099560,BP,20139422,synapse adhesion between pre- and post-synapse (GO:0099560),19266
GO:0098890,CC,15809437,extrinsic component of postsynaptic membrane (GO:0098890),230904
GO:0099560,BP,26321637,synapse adhesion between pre- and post-synapse (GO:0099560),19268
GO:0098962,BP,18817736,regulation of postsynaptic neurotransmitter receptor activity (GO:0098962),140723
GO:0099560,BP,27225731,synapse adhesion between pre- and post-synapse (GO:0099560),19268
GO:0099560,BP,27225731,synapse adhesion between pre- and post-synapse (GO:0099560),19280
GO:0099560,BP,27225731,synapse adhesion between pre- and post-synapse (GO:0099560),19266
GO:0099560,BP,23345436,synapse adhesion between pre- and post-synapse (GO:0099560),19280
GO:0099560,BP,23345436,synapse adhesion between pre- and post-synapse (GO:0099560),19266
GO:1904315,BP,29230056,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14800
GO:0099061,CC,14555717,integral component of postsynaptic density membrane (GO:0099061),14800
GO:0014069,CC,19734897,postsynaptic density (GO:0014069),56508
GO:1904315,BP,28103481,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),53623
GO:0099061,CC,12761821,integral component of postsynaptic density membrane (GO:0099061),53623
GO:0014069,CC,17687028,postsynaptic density (GO:0014069),18163
GO:1904315,BP,21857658,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14802
GO:0099061,CC,44,integral component of postsynaptic density membrane (GO:0099061),14802
GO:0099061,CC,24602382,integral component of postsynaptic density membrane (GO:0099061),22782
GO:0099523,CC,11524423,presynaptic cytosol (GO:0099523),94090
GO:1904315,BP,22345355,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14806
GO:1904315,BP,22345355,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14809
GO:1904315,BP,24872565,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14805
GO:0008021,CC,11524423,synaptic vesicle (GO:0008021),94090
GO:1904315,BP,9580260,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14806
GO:0099072,BP,11140673,regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072),12300
GO:0014069,CC,15312654,postsynaptic density (GO:0014069),17475
GO:0098793,CC,11877461,presynapse (GO:0098793),269774
GO:0099010,BP,25258080,modification of postsynaptic structure (GO:0099010),13488
GO:0099055,CC,18340460,integral component of postsynaptic membrane (GO:0099055),13489
GO:0099056,CC,18340460,integral component of presynaptic membrane (GO:0099056),13489
GO:0099056,CC,18340460,integral component of presynaptic membrane (GO:0099056),13488
GO:0099055,CC,27035941,integral component of postsynaptic membrane (GO:0099055),13488
GO:0099055,CC,27035941,integral component of postsynaptic membrane (GO:0099055),13489
GO:0099056,CC,27035941,integral component of presynaptic membrane (GO:0099056),13488
GO:0099056,CC,27035941,integral component of presynaptic membrane (GO:0099056),13489
GO:0098794,CC,7724573,postsynapse (GO:0098794),19047
GO:0098793,CC,7724573,presynapse (GO:0098793),19047
GO:0098793,CC,7724573,presynapse (GO:0098793),19045
GO:0098794,CC,7724573,postsynapse (GO:0098794),19045
GO:0099171,BP,22586226,presynaptic modulation of chemical synaptic transmission (GO:0099171),13488
GO:0099171,BP,22586226,presynaptic modulation of chemical synaptic transmission (GO:0099171),13489
GO:0099170,BP,15175382,postsynaptic modulation of chemical synaptic transmission (GO:0099170),13488
