msEntrez,Association,PMID,Source
16468,Autism,,SFARI-Gene_genes
108829,Autism,,SFARI-Gene_genes
107351,Autism,,SFARI-Gene_genes
76719,Autism,,SFARI-Gene_genes
18519,Autism,,SFARI-Gene_genes
244349,Autism,,SFARI-Gene_genes
231912,Autism,,SFARI-Gene_genes
71206,Autism,,SFARI-Gene_genes
16500,Autism,,SFARI-Gene_genes
16502,Autism,,SFARI-Gene_genes
16508,Autism,,SFARI-Gene_genes
56543,Autism,,SFARI-Gene_genes
16513,Autism,,SFARI-Gene_genes
16516,Autism,,SFARI-Gene_genes
16530,Autism,,SFARI-Gene_genes
16531,Autism,,SFARI-Gene_genes
16536,Autism,,SFARI-Gene_genes
110862,Autism,,SFARI-Gene_genes
238076,Autism,,SFARI-Gene_genes
233877,Autism,,SFARI-Gene_genes
193796,Autism,,SFARI-Gene_genes
76804,Autism,,SFARI-Gene_genes
75605,Autism,,SFARI-Gene_genes
20591,Autism,,SFARI-Gene_genes
22289,Autism,,SFARI-Gene_genes
216850,Autism,,SFARI-Gene_genes
170771,Autism,,SFARI-Gene_genes
16554,Autism,,SFARI-Gene_genes
381293,Autism,,SFARI-Gene_genes
16574,Autism,,SFARI-Gene_genes
67703,Autism,,SFARI-Gene_genes
214162,Autism,,SFARI-Gene_genes
231051,Autism,,SFARI-Gene_genes
69188,Autism,,SFARI-Gene_genes
70394,Autism,,SFARI-Gene_genes
52705,Autism,,SFARI-Gene_genes
320864,Autism,,SFARI-Gene_genes
16772,Autism,,SFARI-Gene_genes
16777,Autism,,SFARI-Gene_genes
235497,Autism,,SFARI-Gene_genes
225888,Autism,,SFARI-Gene_genes
16846,Autism,,SFARI-Gene_genes
22342,Autism,,SFARI-Gene_genes
16917,Autism,,SFARI-Gene_genes
80877,Autism,,SFARI-Gene_genes
70530,Autism,,SFARI-Gene_genes
238205,Autism,,SFARI-Gene_genes
16971,Autism,,SFARI-Gene_genes
14725,Autism,,SFARI-Gene_genes
214345,Autism,,SFARI-Gene_genes
192198,Autism,,SFARI-Gene_genes
66863,Autism,,SFARI-Gene_genes
226154,Autism,,SFARI-Gene_genes
72899,Autism,,SFARI-Gene_genes
69605,Autism,,SFARI-Gene_genes
27385,Autism,,SFARI-Gene_genes
17161,Autism,,SFARI-Gene_genes
109731,Autism,,SFARI-Gene_genes
26417,Autism,,SFARI-Gene_genes
226778,Autism,,SFARI-Gene_genes
17190,Autism,,SFARI-Gene_genes
17192,Autism,,SFARI-Gene_genes
17193,Autism,,SFARI-Gene_genes
109241,Autism,,SFARI-Gene_genes
110962,Autism,,SFARI-Gene_genes
77582,Autism,,SFARI-Gene_genes
17217,Autism,,SFARI-Gene_genes
17219,Autism,,SFARI-Gene_genes
244329,Autism,,SFARI-Gene_genes
320772,Autism,,SFARI-Gene_genes
17257,Autism,,SFARI-Gene_genes
329650,Autism,,SFARI-Gene_genes
327987,Autism,,SFARI-Gene_genes
